name,attractiveness,min_attr,intelligence,budget,is_committed,b_type
Mzqniy,55,25,84,60,False,miser
Zkhegg,63,44,25,86,False,geeks
Oscukk,25,8,99,38,False,miser
Awqrxx,16,25,18,82,False,miser
Mtzzfw,1,44,64,13,False,generous
Katqqm,60,7,7,90,False,generous
Lbfpsj,36,21,61,99,False,generous
Aglamk,56,49,1,59,False,geeks
Htvqto,79,20,14,23,False,geeks
Kxplyf,97,7,86,53,False,geeks
Ivgrbk,51,16,40,13,False,geeks
Meerlv,11,13,60,30,False,miser
Zqitll,100,44,53,65,False,generous
Yevedh,27,29,49,43,False,geeks
Csfqbj,96,40,14,12,False,miser
Ovlajo,48,42,73,64,False,generous
Sicubc,83,32,66,72,False,geeks
Ggwlfn,11,30,59,81,False,generous
Hgvkvv,43,47,95,49,False,generous
Quntdg,54,3,72,70,False,generous
