name,attractiveness,min_attr,intelligence,budget,is_committed,b_type
Nhfgtb,24,13,19,3,False,geeks
Azljwl,100,21,65,73,False,geeks
Dxbqjw,7,11,6,16,False,miser
Bxqraa,53,45,82,13,False,geeks
Ymbfqr,44,38,71,84,False,generous
Ihmhvu,90,30,16,4,False,generous
Neeaga,55,49,13,7,False,miser
Kfllee,43,35,2,39,False,geeks
Laewks,13,36,65,6,False,geeks
Odhtjr,68,39,39,33,False,generous
Yoanto,7,25,13,62,False,geeks
Ywmsvg,2,33,32,6,False,geeks
Wvfyjp,48,42,19,31,False,miser
Whegcj,5,12,19,13,False,geeks
Nnlmlo,91,24,27,6,False,miser
Azgfeg,86,28,57,99,False,miser
Hesybc,1,19,9,0,False,geeks
Ygredq,21,8,49,33,False,miser
Jbmvrn,89,9,69,43,False,geeks
Ozezhk,53,22,69,25,False,geeks
Cyggkx,25,10,70,47,False,geeks
Ujqrvn,57,34,87,92,False,generous
Esjdim,21,45,94,26,False,geeks
Pjqzoa,57,13,57,30,False,geeks
Habxxx,9,42,77,30,False,generous
Jdbsjy,64,42,69,12,False,generous
Iqtarl,51,40,34,28,False,geeks
Ggvqhz,38,40,5,62,False,geeks
Scdvgf,30,38,12,66,False,miser
Ymepda,92,37,93,89,False,geeks
